1,380,6,561,147
2,505,1,939,17
3,308,1,911,627
4,321,14,854,368
5,62,4,725,611
6,417,19,311,288
7,790,17,945,597
8,293,12,153,101
9,783,5,124,100
10,571,7,875,62
11,705,5,825,205
12,873,3,76,42
13,545,14,501,263
14,746,10,838,663
15,221,16,367,123
16,296,1,348,241
17,583,18,439,239
18,864,12,141,122
19,279,0,920,911
20,555,19,913,368
21,555,19,583,197
22,289,17,208,32
23,497,11,939,429
24,661,12,448,387
25,201,8,661,32
26,293,2,734,408
27,437,16,471,332
28,569,5,913,125
29,249,11,511,363
30,945,0,539,304
31,829,15,930,576
32,137,11,985,531
33,96,15,635,232
34,607,6,616,524
35,76,12,451,432
36,896,18,816,48
37,271,14,224,14
38,560,2,410,401
39,693,11,456,82
40,865,15,531,166
41,672,0,596,255
42,128,8,969,725
43,994,17,807,245
44,85,18,506,491
45,663,13,495,314
46,73,5,977,106
47,526,7,640,263
48,631,12,851,506
49,942,9,245,182
50,141,12,499,99
51,195,5,489,376
52,954,9,348,175
53,864,11,1031,650
54,47,19,749,256
55,115,11,911,586
56,360,10,827,778
57,14,16,642,552
58,602,5,92,72
59,658,11,290,169
60,500,15,800,438
61,891,4,613,500
62,735,17,752,47
63,897,0,961,762
64,600,4,809,778
65,378,9,863,536
66,779,5,815,66
67,75,3,857,196
68,543,15,900,871
69,30,16,621,533
70,926,2,480,150
71,131,5,137,127
72,483,11,856,510
73,505,18,551,386
74,939,6,449,296
75,930,9,504,232
76,391,14,835,792
77,653,12,762,28
78,510,4,632,463
79,613,6,204,56
80,93,11,868,440
81,932,13,878,280
82,136,9,540,123
83,13,6,492,313
84,431,0,977,956
85,826,7,137,71
86,4,13,116,40
87,876,3,886,210
88,601,12,969,937
89,81,5,810,349
90,93,1,686,410
91,325,5,120,23
92,501,5,714,599
93,883,17,94,39
94,732,10,424,289
95,555,13,370,1
96,165,10,899,49
97,340,7,533,498
98,261,16,761,7
99,744,3,922,531
100,236,4,794,192
101,900,19,997,29
102,906,11,688,432
103,542,11,1005,262
104,532,8,998,47
105,439,10,676,573
106,502,0,955,674
107,577,14,195,94
108,975,14,654,417
109,8,8,801,620
110,370,15,521,93
111,82,5,547,282
112,521,15,567,233
113,57,14,98,43
114,394,6,399,131
115,477,12,658,345
116,932,7,665,490
117,748,0,62,4
118,408,0,53,34
119,635,4,63,34
120,809,3,929,512
121,291,15,228,106
122,894,13,377,210
123,367,17,305,282
124,93,3,478,226
125,714,11,754,60
126,343,12,834,368
127,164,19,926,791
128,529,4,576,252
129,723,1,158,104
130,382,3,1006,98
131,243,11,797,678
132,687,2,771,379
133,9,2,807,489
134,557,12,387,267
135,193,6,756,166
136,339,5,960,246
137,701,9,691,622
138,814,2,544,432
139,654,0,481,78
140,438,7,492,70
141,698,8,818,373
142,164,15,220,155
143,638,5,380,285
144,444,16,421,404
145,908,18,856,487
146,914,19,661,658
147,276,3,402,176
148,438,7,619,589
149,307,13,1014,163
150,186,19,313,8
151,465,13,411,248
152,544,11,1003,493
153,460,17,609,138
154,6,18,976,866
155,167,8,356,7
156,403,18,205,62
157,264,10,664,311
158,841,2,943,60
159,115,1,708,153
160,83,18,815,558
161,929,12,409,118
162,350,7,485,172
163,718,8,170,33
164,897,8,743,732
165,372,2,468,201
166,742,5,224,87
167,306,5,108,17
168,377,11,628,205
169,248,13,989,839
170,765,17,1040,591
171,618,2,329,92
172,236,12,572,66
173,539,17,557,116
174,341,12,866,381
175,705,18,279,219
176,333,4,966,817
177,893,4,529,504
178,649,5,469,121
179,177,18,581,523
180,415,8,688,538
181,585,7,424,14
182,90,2,528,451
183,29,7,713,280
184,757,11,729,367
185,243,7,952,603
186,444,3,936,513
187,718,4,537,335
188,720,14,703,502
189,308,17,401,65
190,265,9,798,766
191,505,16,509,370
192,3,5,417,9
193,278,4,55,33
194,452,3,166,148
195,670,13,850,333
196,649,14,77,50
197,509,14,531,411
198,870,3,200,100
199,625,1,576,243
200,53,13,890,601
201,395,6,458,153
202,331,13,146,60
203,220,0,844,364
204,936,18,870,513
205,402,6,939,392
206,189,5,506,171
207,98,15,621,4
208,397,18,560,256
209,205,9,204,81
210,350,16,935,655
211,589,10,554,464
212,359,0,527,395
213,30,13,476,464
214,305,10,209,186
215,143,1,689,281
216,936,3,288,165
217,864,18,74,62
218,33,5,476,343
219,52,9,689,674
220,579,6,291,218
221,598,4,684,93
222,512,12,239,103
223,509,11,304,5
224,98,17,1005,479
225,737,16,136,120
226,144,0,570,106
227,229,7,701,234
228,600,2,893,297
229,821,10,677,260
230,500,5,426,291
231,87,18,510,1
232,503,12,931,432
233,828,15,825,271
